,epochs,filters,kernel_size,batch_size,learning_rate,acc_mean
0,12,16,2,32,0.01,0.9037026024263661
1,12,16,2,32,0.001,0.9089482150293918
2,12,16,2,64,0.01,0.9100686672533637
3,12,16,2,64,0.001,0.9031608404627146
4,12,16,2,128,0.01,0.9052917415995053
5,12,16,2,128,0.001,0.902151076784261
6,12,16,2,256,0.01,0.861460697958679
7,12,16,2,256,0.001,0.8829967400140187
8,12,16,3,32,0.01,0.8944769089442423
9,12,16,3,32,0.001,0.9032741571686175
10,12,16,3,64,0.01,0.9087088765250818
11,12,16,3,64,0.001,0.8990731315543646
12,12,16,3,128,0.01,0.9047019438150699
13,12,16,3,128,0.001,0.8970577806757939
14,12,16,3,256,0.01,0.8831032277317616
15,12,16,3,256,0.001,0.8933377284713426
16,12,32,2,32,0.01,0.905995791631058
17,12,32,2,32,0.001,0.8766974665804327
18,12,32,2,64,0.01,0.8981774210683894
19,12,32,2,64,0.001,0.9106686255067177
20,12,32,2,128,0.01,0.899642489718277
21,12,32,2,128,0.001,0.9047548033249616
22,12,32,2,256,0.01,0.8892160223930681
23,12,32,2,256,0.001,0.8995968537743207
24,12,32,3,32,0.01,0.9029712920828872
25,12,32,3,32,0.001,0.9052328932940187
26,12,32,3,64,0.01,0.8982274978181478
27,12,32,3,64,0.001,0.9042506573465984
28,12,32,3,128,0.01,0.8912390439353923
29,12,32,3,128,0.001,0.9012406465724833
30,12,32,3,256,0.01,0.9053130756378032
31,12,32,3,256,0.001,0.8980351654614726
32,12,64,2,32,0.01,0.9044135189288406
33,12,64,2,32,0.001,0.9034118601020359
34,12,64,2,64,0.01,0.8783181223351976
35,12,64,2,64,0.001,0.9107297233963775
36,12,64,2,128,0.01,0.8996700032052929
37,12,64,2,128,0.001,0.9116339898423078
38,12,64,2,256,0.01,0.9031227473782525
39,12,64,2,256,0.001,0.9018432391556215
40,12,64,3,32,0.01,0.8819266024542141
41,12,64,3,32,0.001,0.9090586273100097
42,12,64,3,64,0.01,0.9090055285945277
43,12,64,3,64,0.001,0.9078898322057359
44,12,64,3,128,0.01,0.9114444192183119
45,12,64,3,128,0.001,0.9058297511975862
46,12,64,3,256,0.01,0.8875684684567466
47,12,64,3,256,0.001,0.8998209150387897
48,12,128,2,32,0.01,0.8849165579741403
49,12,128,2,32,0.001,0.9123014031551526
50,12,128,2,64,0.01,0.881910881652474
51,12,128,2,64,0.001,0.9125585659771446
52,12,128,2,128,0.01,0.9169083751265958
53,12,128,2,128,0.001,0.9035957372443676
54,12,128,2,256,0.01,0.9000465347487189
55,12,128,2,256,0.001,0.9057102759751268
56,12,128,3,32,0.01,0.8828190105103855
57,12,128,3,32,0.001,0.9055844372739693
58,12,128,3,64,0.01,0.895643303844791
59,12,128,3,64,0.001,0.9103522082780146
60,12,128,3,128,0.01,0.8916447824748222
61,12,128,3,128,0.001,0.9027105894436313
62,12,128,3,256,0.01,0.9054860071674153
63,12,128,3,256,0.001,0.8969481311458748
