,epochs,dropout,filters,kernels,lstm_unit,nn_units,batch_size,learning_rate,acc_mean,sacc_mean
0,3,0.5,32,2,32,64,64,0.01,0.5129985078269945,0.8340125749525261
1,3,0.5,32,2,32,64,64,0.001,0.5686373898439384,0.8583633613633289
2,3,0.5,32,2,32,64,128,0.01,0.5426101306932741,0.8409632347503431
3,3,0.5,32,2,32,64,128,0.001,0.56365934409154,0.8497886227706951
4,3,0.5,32,2,32,128,64,0.01,0.5164229175785199,0.8311893538239351
5,3,0.5,32,2,32,128,64,0.001,0.5723220198399221,0.8603625112902241
6,3,0.5,32,2,32,128,128,0.01,0.5391125944347266,0.8448089572494485
7,3,0.5,32,2,32,128,128,0.001,0.5612671699559243,0.8537873279777076
8,3,0.5,32,2,64,64,64,0.01,0.5415971388084735,0.8459183255618395
9,3,0.5,32,2,64,64,64,0.001,0.5814551242894316,0.86581479668264
10,3,0.5,32,2,64,64,128,0.01,0.5614143016393264,0.8480944820138919
11,3,0.5,32,2,64,64,128,0.001,0.5756225189882628,0.864622891131333
12,3,0.5,32,2,64,128,64,0.01,0.5423521666002088,0.8385328177521231
13,3,0.5,32,2,64,128,64,0.001,0.5780379950685385,0.8567639626639694
14,3,0.5,32,2,64,128,128,0.01,0.5579986304583958,0.8646238944132986
15,3,0.5,32,2,64,128,128,0.001,0.5784504658661019,0.8639395490830027
16,3,0.5,32,2,128,64,64,0.01,0.5314340509376071,0.8372136510176175
17,3,0.5,32,2,128,64,64,0.001,0.5946585861676753,0.8756986969994665
18,3,0.5,32,2,128,64,128,0.01,0.557002784594118,0.8591725085611802
19,3,0.5,32,2,128,64,128,0.001,0.5880762177902678,0.8680688073972479
20,3,0.5,32,2,128,128,64,0.01,0.5435433144444417,0.840402096346535
21,3,0.5,32,2,128,128,64,0.001,0.5951700474989545,0.8747551452954058
22,3,0.5,32,2,128,128,128,0.01,0.5598527633265746,0.8612896067179223
23,3,0.5,32,2,128,128,128,0.001,0.5888537573289135,0.8710938735872603
24,3,0.5,32,3,32,64,64,0.01,0.5076887069203745,0.8226284116470882
25,3,0.5,32,3,32,64,64,0.001,0.5682906523364085,0.8533769124800886
26,3,0.5,32,3,32,64,128,0.01,0.540403356962453,0.8400574058630229
27,3,0.5,32,3,32,64,128,0.001,0.5558603479632419,0.8467495927794003
28,3,0.5,32,3,32,128,64,0.01,0.5093830498661499,0.829579738980602
29,3,0.5,32,3,32,128,64,0.001,0.5659799528330022,0.8546122357446352
30,3,0.5,32,3,32,128,128,0.01,0.5195893917150847,0.8392642943182521
31,3,0.5,32,3,32,128,128,0.001,0.5610388689021913,0.8493728902269719
32,3,0.5,32,3,64,64,64,0.01,0.5337711530717094,0.8362215054121588
33,3,0.5,32,3,64,64,64,0.001,0.5827299131081356,0.865127816681795
34,3,0.5,32,3,64,64,128,0.01,0.564062428678474,0.8538226004234938
35,3,0.5,32,3,64,64,128,0.001,0.5776079215419002,0.8618541261861342
36,3,0.5,32,3,64,128,64,0.01,0.5240760829600948,0.8275372518983944
37,3,0.5,32,3,64,128,64,0.001,0.5690508188377786,0.8593791244575383
38,3,0.5,32,3,64,128,128,0.01,0.5438576942485868,0.854942230272063
39,3,0.5,32,3,64,128,128,0.001,0.5677776912232869,0.8585205305477195
40,3,0.5,32,3,128,64,64,0.01,0.5169787346171372,0.8321061108078528
41,3,0.5,32,3,128,64,64,0.001,0.590355835643458,0.874207789737094
42,3,0.5,32,3,128,64,128,0.01,0.5529042768094227,0.8563074878441586
43,3,0.5,32,3,128,64,128,0.001,0.5850836243027976,0.864049055059445
44,3,0.5,32,3,128,128,64,0.01,0.5349306780424068,0.840638211240539
45,3,0.5,32,3,128,128,64,0.001,0.579126280109139,0.8697078688518887
46,3,0.5,32,3,128,128,128,0.01,0.5643527110458454,0.8523496419186768
47,3,0.5,32,3,128,128,128,0.001,0.5797574307636425,0.8597437527354064
48,3,0.5,64,2,32,64,64,0.01,0.4636556208997656,0.7404990225798876
49,3,0.5,64,2,32,64,64,0.001,0.5669120733087011,0.8528268221598839
50,3,0.5,64,2,32,64,128,0.01,0.5099163461574382,0.8210228281832405
51,3,0.5,64,2,32,64,128,0.001,0.5606113902547777,0.8534033240554733
52,3,0.5,64,2,32,128,64,0.01,0.4870671269600047,0.7770414921179664
53,3,0.5,64,2,32,128,64,0.001,0.5678297951207832,0.8579536475361218
54,3,0.5,64,2,32,128,128,0.01,0.5162166374284304,0.8180766225193121
55,3,0.5,64,2,32,128,128,0.001,0.5670464208029706,0.8499796640416113
56,3,0.5,64,2,64,64,64,0.01,0.4974994408162475,0.8023201333075809
57,3,0.5,64,2,64,64,64,0.001,0.5823593980270086,0.8622462737317823
58,3,0.5,64,2,64,64,128,0.01,0.5437293691211581,0.8462936071588169
59,3,0.5,64,2,64,64,128,0.001,0.5765456599440778,0.8636292785412231
60,3,0.5,64,2,64,128,64,0.01,0.5164312375321177,0.8189594497360023
61,3,0.5,64,2,64,128,64,0.001,0.5893015873998316,0.864131514415481
62,3,0.5,64,2,64,128,128,0.01,0.5421893469362463,0.8455084960667131
63,3,0.5,64,2,64,128,128,0.001,0.5862537074891089,0.8649959016691028
64,3,0.5,64,2,128,64,64,0.01,0.5165744979208807,0.8326909157429405
65,3,0.5,64,2,128,64,64,0.001,0.6020499237687108,0.8767580793271256
66,3,0.5,64,2,128,64,128,0.01,0.5432234054852539,0.8391685171569289
67,3,0.5,64,2,128,64,128,0.001,0.5922792436196822,0.868293511265068
68,3,0.5,64,2,128,128,64,0.01,0.5082906134590582,0.8161001497742677
69,3,0.5,64,2,128,128,64,0.001,0.5941538442480465,0.875435274640105
70,3,0.5,64,2,128,128,128,0.01,0.5555397005238806,0.8521813258968631
71,3,0.5,64,2,128,128,128,0.001,0.5942434575158216,0.8710564397870604
72,3,0.5,64,3,32,64,64,0.01,0.48065645402477547,0.7328237915712265
73,3,0.5,64,3,32,64,64,0.001,0.574216221485366,0.8562787276332023
74,3,0.5,64,3,32,64,128,0.01,0.4991583773966943,0.8011813014697825
75,3,0.5,64,3,32,64,128,0.001,0.5548928890851281,0.8455671483400394
76,3,0.5,64,3,32,128,64,0.01,0.4720604674499025,0.7458698015181805
77,3,0.5,64,3,32,128,64,0.001,0.5719743983686707,0.860231045378919
78,3,0.5,64,3,32,128,128,0.01,0.49507397992783697,0.7799065913866298
79,3,0.5,64,3,32,128,128,0.001,0.5769387945263537,0.8579964050143135
