,epochs,dropout,filters,kernels,lstm_unit,nn_units,batch_size,learning_rate,acc_mean,sacc_mean
0,5,0.5,32,2,32,64,64,0.01,0.4364911148910962,0.7228825183083735
1,5,0.5,32,2,32,64,64,0.001,0.5482421549005574,0.8129572054005352
2,5,0.5,32,2,32,64,128,0.01,0.47009158770175463,0.7437541201302732
3,5,0.5,32,2,32,64,128,0.001,0.5387185124058609,0.7980030563900633
4,5,0.5,32,2,32,128,64,0.01,0.42785398776019773,0.6986414005526772
5,5,0.5,32,2,32,128,64,0.001,0.5382632127497172,0.8024450427044366
6,5,0.5,32,2,32,128,128,0.01,0.4782220737379345,0.7624746544028117
7,5,0.5,32,2,32,128,128,0.001,0.5496303714144294,0.8032984333036719
8,5,0.5,32,2,64,64,64,0.01,0.43892533802741585,0.7294179183060804
9,5,0.5,32,2,64,64,64,0.001,0.5779638912560006,0.8353044539870945
10,5,0.5,32,2,64,64,128,0.01,0.4995412051103571,0.7823236485800594
11,5,0.5,32,2,64,64,128,0.001,0.5691842337897395,0.8265502288663917
12,5,0.5,32,2,64,128,64,0.01,0.43892546966146684,0.7125355522453383
13,5,0.5,32,2,64,128,64,0.001,0.5707517500321536,0.827111380320516
14,5,0.5,32,2,64,128,128,0.01,0.5025452818725388,0.7972827209004211
15,5,0.5,32,2,64,128,128,0.001,0.575053612043647,0.8265203263347393
16,5,0.5,32,2,128,64,64,0.01,0.4580088252688093,0.7403154222719429
17,5,0.5,32,2,128,64,64,0.001,0.5961318238186579,0.8493532154464414
18,5,0.5,32,2,128,64,128,0.01,0.5015828693415413,0.7967107826163019
19,5,0.5,32,2,128,64,128,0.001,0.5903251343321491,0.8431736077909094
20,5,0.5,32,2,128,128,64,0.01,0.45858801728802884,0.7627308253558751
21,5,0.5,32,2,128,128,64,0.001,0.6018768636901207,0.8445340218531906
22,5,0.5,32,2,128,128,128,0.01,0.5147126742569914,0.8025003313162351
23,5,0.5,32,2,128,128,128,0.001,0.5933278351459487,0.8336519851482374
24,5,0.5,32,3,32,64,64,0.01,0.41259572978275655,0.6874471966126592
25,5,0.5,32,3,32,64,64,0.001,0.5337776378900388,0.8111072458621308
26,5,0.5,32,3,32,64,128,0.01,0.4296637975268207,0.6855995915852046
27,5,0.5,32,3,32,64,128,0.001,0.5272560536339698,0.7912547865729974
28,5,0.5,32,3,32,128,64,0.01,0.4129434766794596,0.6952866387801876
29,5,0.5,32,3,32,128,64,0.001,0.5468767943090412,0.8074508974829206
30,5,0.5,32,3,32,128,128,0.01,0.44256027967178174,0.7003341762693357
31,5,0.5,32,3,32,128,128,0.001,0.535712287218861,0.8014137738973389
32,5,0.5,32,3,64,64,64,0.01,0.40047747692670255,0.6596755453102247
33,5,0.5,32,3,64,64,64,0.001,0.5654806718171007,0.8280653895277705
34,5,0.5,32,3,64,64,128,0.01,0.4733143838833452,0.746074370069311
35,5,0.5,32,3,64,64,128,0.001,0.5666294794927702,0.8219493246148212
36,5,0.5,32,3,64,128,64,0.01,0.42277791947133103,0.6634893164047458
37,5,0.5,32,3,64,128,64,0.001,0.5680771309466479,0.8242638745510851
38,5,0.5,32,3,64,128,128,0.01,0.4916316754638191,0.765268735115083
39,5,0.5,32,3,64,128,128,0.001,0.5597535251660802,0.8203149360796407
40,5,0.5,32,3,128,64,64,0.01,0.4322607785718066,0.6913039261533797
41,5,0.5,32,3,128,64,64,0.001,0.5924471980887049,0.8356440501426367
42,5,0.5,32,3,128,64,128,0.01,0.4988743174929035,0.7844258551176493
43,5,0.5,32,3,128,64,128,0.001,0.5881829588102194,0.8263712711322402
44,5,0.5,32,3,128,128,64,0.01,0.4248628005650126,0.7118359118926868
45,5,0.5,32,3,128,128,64,0.001,0.5915169784871913,0.8329581622235575
46,5,0.5,32,3,128,128,128,0.01,0.4746907588775464,0.775628141086893
47,5,0.5,32,3,128,128,128,0.001,0.5940808578136813,0.8381634599749206
48,5,0.5,64,2,32,64,64,0.01,0.39820614593228054,0.6930542754502688
49,5,0.5,64,2,32,64,64,0.001,0.5395902699694991,0.8102582130488739
50,5,0.5,64,2,32,64,128,0.01,0.4187207847411209,0.7159011892199589
51,5,0.5,64,2,32,64,128,0.001,0.5223623832967673,0.7803088845382855
52,5,0.5,64,2,32,128,64,0.01,0.39904756776752115,0.7084214697020358
53,5,0.5,64,2,32,128,64,0.001,0.5556979592434431,0.8173265251557563
54,5,0.5,64,2,32,128,128,0.01,0.416253938019993,0.6936444860886217
55,5,0.5,64,2,32,128,128,0.001,0.5501216640596659,0.8128086000872958
56,5,0.5,64,2,64,64,64,0.01,0.3920331690749293,0.6846068417663008
57,5,0.5,64,2,64,64,64,0.001,0.5731999707949845,0.8260706317824026
58,5,0.5,64,2,64,64,128,0.01,0.44344563637868517,0.7106437876615089
59,5,0.5,64,2,64,64,128,0.001,0.5726078461201322,0.8274629271613089
60,5,0.5,64,2,64,128,64,0.01,0.39194854738303997,0.6932272271137059
61,5,0.5,64,2,64,128,64,0.001,0.562101573975616,0.8285993234036696
62,5,0.5,64,2,64,128,128,0.01,0.44430665534156605,0.703917273331547
63,5,0.5,64,2,64,128,128,0.001,0.5704812684534907,0.8251463342691944
64,5,0.5,64,2,128,64,64,0.01,0.40067365394268,0.7361520053772256
65,5,0.5,64,2,128,64,64,0.001,0.5929915409315178,0.84387741422554
66,5,0.5,64,2,128,64,128,0.01,0.45841549576007995,0.7551438187147554
67,5,0.5,64,2,128,64,128,0.001,0.586432253656644,0.8346430419187412
68,5,0.5,64,2,128,128,64,0.01,0.4179474864441257,0.7255331966891135
69,5,0.5,64,2,128,128,64,0.001,0.5986835500126184,0.8451159142476413
70,5,0.5,64,2,128,128,128,0.01,0.46071975351927225,0.7626734480426497
71,5,0.5,64,2,128,128,128,0.001,0.5943334467494973,0.8326389837280507
72,5,0.5,64,3,32,64,64,0.01,0.38547589067776217,0.6506673488940119
73,5,0.5,64,3,32,64,64,0.001,0.5511513480597907,0.8145720566469858
74,5,0.5,64,3,32,64,128,0.01,0.4124489289938793,0.6856367409785689
75,5,0.5,64,3,32,64,128,0.001,0.5411329072029973,0.8068414682153634
76,5,0.5,64,3,32,128,64,0.01,0.3781932852092562,0.6888350891531253
77,5,0.5,64,3,32,128,64,0.001,0.5415441230255574,0.8110362908344392
78,5,0.5,64,3,32,128,128,0.01,0.4020411847343706,0.6381376970598139
79,5,0.5,64,3,32,128,128,0.001,0.5503528347087246,0.8056319781663407
80,5,0.5,64,3,64,64,64,0.01,0.38723018703235573,0.6546328418924366
81,5,0.5,64,3,64,64,64,0.001,0.5856313521208011,0.8439059466425265
82,5,0.5,64,3,64,64,128,0.01,0.42555926795366367,0.6926733636461045
83,5,0.5,64,3,64,64,128,0.001,0.5743309423744224,0.8314231454984039
84,5,0.5,64,3,64,128,64,0.01,0.392419273983916,0.6771996777358845
85,5,0.5,64,3,64,128,64,0.001,0.5625782514868208,0.8231559548144509
86,5,0.5,64,3,64,128,128,0.01,0.42269210752806446,0.6898909566042054
87,5,0.5,64,3,64,128,128,0.001,0.5656656441126229,0.8277514807840305
88,5,0.5,64,3,128,64,64,0.01,0.3985421701784997,0.6821136447845912
89,5,0.5,64,3,128,64,64,0.001,0.5957042365091823,0.8363348622921775
90,5,0.5,64,3,128,64,128,0.01,0.4376070733730925,0.7252429843849342
91,5,0.5,64,3,128,64,128,0.001,0.5990873456947684,0.8416814758107486
