,epochs,dropout,lstm_unit,nn_units,batch_size,learning_rate,acc_mean,sacc_mean
0,4,0.5,32,64,64,0.01,0.5318747917158914,0.827537369210353
1,4,0.5,32,64,64,0.001,0.5486297154014834,0.8358525908729795
2,4,0.5,32,64,128,0.01,0.5428450030000624,0.8400916975418228
3,4,0.5,32,64,128,0.001,0.5349313648050043,0.8245227057767105
4,4,0.5,32,128,64,0.01,0.5284705355179847,0.8212474786894454
5,4,0.5,32,128,64,0.001,0.553735830730723,0.8451235750213201
6,4,0.5,32,128,128,0.01,0.5460801274818635,0.8510277374407155
7,4,0.5,32,128,128,0.001,0.5418035551909065,0.8344075745720257
8,4,0.5,64,64,64,0.01,0.5429238933417749,0.839963107919118
9,4,0.5,64,64,64,0.001,0.5791118834518073,0.8595725856150186
10,4,0.5,64,64,128,0.01,0.5553034868760568,0.8504727367651519
11,4,0.5,64,64,128,0.001,0.5696818823024677,0.8503105581093365
12,4,0.5,64,128,64,0.01,0.5421332852230581,0.8475752028855016
13,4,0.5,64,128,64,0.001,0.585384272310261,0.8677780798853298
14,4,0.5,64,128,128,0.01,0.5652617022567435,0.8578407488755403
15,4,0.5,64,128,128,0.001,0.5851093342077706,0.8584699035548405
16,4,0.5,128,64,64,0.01,0.555743677792849,0.8480384733558033
17,4,0.5,128,64,64,0.001,0.6044325552591754,0.8791386117694806
18,4,0.5,128,64,128,0.01,0.5579100125031754,0.8547302751211371
19,4,0.5,128,64,128,0.001,0.5985343661640915,0.8730355472026544
20,4,0.5,128,128,64,0.01,0.5503198937169927,0.8564867853241852
21,4,0.5,128,128,64,0.001,0.5909728879083748,0.8709942940694894
22,4,0.5,128,128,128,0.01,0.5585378215223539,0.8600230698899024
23,4,0.5,128,128,128,0.001,0.597968952449946,0.8779925000698118
