,epochs,dropout,lstm_unit,nn_units,batch_size,learning_rate,acc_mean,sacc_mean
0,5,0.5,32,64,64,0.01,0.44497539559710014,0.714020974816549
1,5,0.5,32,64,64,0.001,0.48253606560485246,0.7737258413314979
2,5,0.5,32,64,128,0.01,0.4711359807529656,0.7439289791300999
3,5,0.5,32,64,128,0.001,0.4706388976534746,0.7759262725741328
4,5,0.5,32,128,64,0.01,0.4488275784780611,0.7391387690560461
5,5,0.5,32,128,64,0.001,0.4881206375611636,0.7818550651478812
6,5,0.5,32,128,128,0.01,0.4656475089893421,0.7341437911547207
7,5,0.5,32,128,128,0.001,0.4769791053202857,0.7669653413306415
8,5,0.5,64,64,64,0.01,0.47269166760521775,0.752329019934946
9,5,0.5,64,64,64,0.001,0.525130412885249,0.8060686530771383
10,5,0.5,64,64,128,0.01,0.49591424121725175,0.7898161026383038
11,5,0.5,64,64,128,0.001,0.5146734108635102,0.7960652728539094
12,5,0.5,64,128,64,0.01,0.4769968823284812,0.7371382577647866
13,5,0.5,64,128,64,0.001,0.5347335461740649,0.8044681862730125
14,5,0.5,64,128,128,0.01,0.49837657732058943,0.7920582027293072
15,5,0.5,64,128,128,0.001,0.5180683467245587,0.8025060641842021
16,5,0.5,128,64,64,0.01,0.49337879409490126,0.7683613178422101
17,5,0.5,128,64,64,0.001,0.5687673780921138,0.8250562774599008
18,5,0.5,128,64,128,0.01,0.5037831211252047,0.7937375337517801
19,5,0.5,128,64,128,0.001,0.5649634249108672,0.8318139114310906
20,5,0.5,128,128,64,0.01,0.5053051890220471,0.7743269689899077
21,5,0.5,128,128,64,0.001,0.5696980083641418,0.8293136256178416
22,5,0.5,128,128,128,0.01,0.5246161563650277,0.790343066725129
23,5,0.5,128,128,128,0.001,0.5638643513983285,0.8280255206985183
