,epochs,filters,multihead_kernel_size,batch_size,learning_rate,acc_mean,sacc_mean
0,5,32,"[2, 3, 5]",64,0.01,0.45246270123787347,0.7839711050412254
1,5,32,"[2, 5, 7]",64,0.01,0.4335158337607962,0.7748962645333974
2,5,32,"[3, 5, 7]",64,0.01,0.4052750116137624,0.7279457742582656
3,5,32,"[3, 5, 11]",64,0.01,0.43106501167306416,0.7680013621449082
4,5,32,"[2, 3, 5]",64,0.001,0.5748602580332332,0.8625538678884523
5,5,32,"[2, 5, 7]",64,0.001,0.5692506358599484,0.8650259696182511
6,5,32,"[3, 5, 7]",64,0.001,0.5732039607755262,0.8623063362430609
7,5,32,"[3, 5, 11]",64,0.001,0.5589113882044513,0.8581764581268879
8,5,32,"[2, 3, 5]",128,0.01,0.4868299237908931,0.7838377005939696
9,5,32,"[2, 5, 7]",128,0.01,0.4991636075515029,0.7849791811813018
10,5,32,"[3, 5, 7]",128,0.01,0.5058371384970866,0.8228312471014716
11,5,32,"[3, 5, 11]",128,0.01,0.5091762644505217,0.8250201221172012
12,5,32,"[2, 3, 5]",128,0.001,0.5526538832106875,0.8139476409694981
13,5,32,"[2, 5, 7]",128,0.001,0.5428164644747291,0.8183514572740846
14,5,32,"[3, 5, 7]",128,0.001,0.545103997309446,0.8107606148376022
15,5,32,"[3, 5, 11]",128,0.001,0.5516772025386453,0.8236473679685895
16,5,64,"[2, 3, 5]",64,0.01,0.360828006448833,0.6975912532764319
17,5,64,"[2, 5, 7]",64,0.01,0.390715886280488,0.7126673161297887
18,5,64,"[3, 5, 7]",64,0.01,0.4440207503838874,0.7704342929577895
19,5,64,"[3, 5, 11]",64,0.01,0.4035729688636078,0.7185053258185269
20,5,64,"[2, 3, 5]",64,0.001,0.5682639087235071,0.8610906683192203
21,5,64,"[2, 5, 7]",64,0.001,0.5716602695487878,0.8669968148321585
22,5,64,"[3, 5, 7]",64,0.001,0.5711052886528418,0.8631919730804051
23,5,64,"[3, 5, 11]",64,0.001,0.5759108832377976,0.8654438007479658
24,5,64,"[2, 3, 5]",128,0.01,0.41771073682624266,0.7212554836758308
25,5,64,"[2, 5, 7]",128,0.01,0.408131461068674,0.6452464906694685
26,5,64,"[3, 5, 7]",128,0.01,0.4291514968935864,0.6977287156878355
27,5,64,"[3, 5, 11]",128,0.01,0.44378959308448634,0.7083846280081197
28,5,64,"[2, 3, 5]",128,0.001,0.5621056822953276,0.8316786242592835
29,5,64,"[2, 5, 7]",128,0.001,0.5624928761494443,0.8386594207719021
30,5,64,"[3, 5, 7]",128,0.001,0.5675183567164214,0.8470586271625854
31,5,64,"[3, 5, 11]",128,0.001,0.5569495926084767,0.8235152871919887
32,5,128,"[2, 3, 5]",64,0.01,0.3631378456560583,0.6928796201056082
33,5,128,"[2, 5, 7]",64,0.01,0.366097261533531,0.6834873664250498
34,5,128,"[3, 5, 7]",64,0.01,0.3769824807006637,0.6490256371652777
35,5,128,"[3, 5, 11]",64,0.01,0.32863475779239665,0.6782609376226646
36,5,128,"[2, 3, 5]",64,0.001,0.5620037856981291,0.8632082928812305
37,5,128,"[2, 5, 7]",64,0.001,0.5662942515582251,0.8741799306168847
38,5,128,"[3, 5, 7]",64,0.001,0.5705246238880878,0.8684155067570419
39,5,128,"[3, 5, 11]",64,0.001,0.5736610020624671,0.8669368569050225
40,5,128,"[2, 3, 5]",128,0.01,0.38392195607006724,0.7326344999276143
41,5,128,"[2, 5, 7]",128,0.01,0.4455910672948062,0.7753444628558309
42,5,128,"[3, 5, 7]",128,0.01,0.4003331018556025,0.7071810829024758
43,5,128,"[3, 5, 11]",128,0.01,0.3918530053308495,0.7214061236909893
44,5,128,"[2, 3, 5]",128,0.001,0.5653311351237283,0.8431572131139151
45,5,128,"[2, 5, 7]",128,0.001,0.5789804932795974,0.8703075852310858
46,5,128,"[3, 5, 7]",128,0.001,0.5775377542106709,0.8545085391698158
47,5,128,"[3, 5, 11]",128,0.001,0.5889599330300483,0.870679554587542
