,epochs,filters,kernel_size,batch_size,learning_rate,acc_mean,sacc_mean
0,10,16,2,32,0.01,0.5597873749971828,0.8154418706932424
1,10,16,2,32,0.001,0.5667512253010886,0.8328799716986612
2,10,16,2,64,0.01,0.506407753461484,0.8069358941093382
3,10,16,2,64,0.001,0.5564231229799002,0.8241948378755968
4,10,16,2,128,0.01,0.5515045877042257,0.8190717004309768
5,10,16,2,128,0.001,0.4721099725417197,0.7955468941821761
6,10,16,2,256,0.01,0.5543537185707738,0.8343206665828945
7,10,16,2,256,0.001,0.3569261266662865,0.6894826627732781
8,10,16,3,32,0.01,0.49869498549644825,0.8111915136018037
9,10,16,3,32,0.001,0.5539871295923399,0.818659856436792
10,10,16,3,64,0.01,0.5311908170700352,0.8317759349410015
11,10,16,3,64,0.001,0.5332514918119787,0.8131743233834889
12,10,16,3,128,0.01,0.552327603674141,0.8389532620208991
13,10,16,3,128,0.001,0.43803068071686785,0.7797876839156711
14,10,16,3,256,0.01,0.538798723641902,0.83174534964457
15,10,16,3,256,0.001,0.3395723495145815,0.7352966731501182
16,10,32,2,32,0.01,0.5525831673869307,0.839699843250969
17,10,32,2,32,0.001,0.5726806313546581,0.8425952387672276
18,10,32,2,64,0.01,0.5894841434486823,0.8388930178851641
19,10,32,2,64,0.001,0.5889200687761359,0.8432357061036876
20,10,32,2,128,0.01,0.5737500711283886,0.8484036505562877
21,10,32,2,128,0.001,0.5062678825448597,0.8118313603109867
22,10,32,2,256,0.01,0.5333546592094506,0.8390294106043973
23,10,32,2,256,0.001,0.3565388207697054,0.685393650048196
24,10,32,3,32,0.01,0.5466132034506458,0.8221744688210456
25,10,32,3,32,0.001,0.5788710450819331,0.8423232415838466
26,10,32,3,64,0.01,0.5175549737728534,0.8209762334276421
27,10,32,3,64,0.001,0.566231393712599,0.8243162013975356
28,10,32,3,128,0.01,0.5673365269830634,0.8160642033419615
29,10,32,3,128,0.001,0.47064019037338234,0.8243607264775442
30,10,32,3,256,0.01,0.5622859968854312,0.829768135398543
31,10,32,3,256,0.001,0.37204469238718296,0.6940767036793809
32,10,64,2,32,0.01,0.5212502063035589,0.8109564818715643
33,10,64,2,32,0.001,0.5725396205188252,0.8462231923084186
34,10,64,2,64,0.01,0.5377641501978863,0.7829886313755162
35,10,64,2,64,0.001,0.5934208850218645,0.8439931239867765
36,10,64,2,128,0.01,0.5520677887966771,0.8192758503093914
37,10,64,2,128,0.001,0.5446247282553635,0.8380931423414154
38,10,64,2,256,0.01,0.5374329417192677,0.8378223159616723
39,10,64,2,256,0.001,0.4303021476714885,0.725703420979236
40,10,64,3,32,0.01,0.5210441489615395,0.8196847407705041
41,10,64,3,32,0.001,0.5788997054030302,0.8469002268032838
42,10,64,3,64,0.01,0.5556058627538852,0.8236746862590815
43,10,64,3,64,0.001,0.573604559987788,0.8403938255904669
44,10,64,3,128,0.01,0.5665332899757822,0.8348925440148834
45,10,64,3,128,0.001,0.5290664654524329,0.8246831612901762
46,10,64,3,256,0.01,0.5059179559578221,0.8200858670150719
47,10,64,3,256,0.001,0.3776595967271965,0.7220155857811305
48,10,128,2,32,0.01,0.547372197121372,0.7805244068596203
49,10,128,2,32,0.001,0.5820616327221272,0.8408110017956378
50,10,128,2,64,0.01,0.5667147971837971,0.8105938585424147
51,10,128,2,64,0.001,0.5817604553469137,0.8350164768509684
52,10,128,2,128,0.01,0.4939435916980248,0.8167652072849042
53,10,128,2,128,0.001,0.5582793158605788,0.8450876758139866
54,10,128,2,256,0.01,0.5372149548668231,0.8446322659440111
55,10,128,2,256,0.001,0.4101395412423858,0.7380427535511668
56,10,128,3,32,0.01,0.5442170983552148,0.7954735570159835
57,10,128,3,32,0.001,0.5825751344204956,0.8433560974507639
58,10,128,3,64,0.01,0.5513349742800657,0.8327575176170511
59,10,128,3,64,0.001,0.5845587494581724,0.8430735120455197
60,10,128,3,128,0.01,0.5641927613360086,0.8300876224952757
61,10,128,3,128,0.001,0.5738188682951352,0.838648756931467
62,10,128,3,256,0.01,0.5538415221139183,0.8450025321312434
63,10,128,3,256,0.001,0.4195713128823361,0.7487299817307225
